156...\ModelLib\Samples\7 - Copy - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 
71...\ModelLib\Samples\2 - Copy - Copy (2) - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

174...\ModelLib\Samples\8 - Copy.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

35...\ModelLib\Samples\1 - Copy (3) - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

124...\ModelLib\Samples\5 - Copy - Copy - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

49...\ModelLib\Samples\1(1) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

175...\ModelLib\Samples\8(1) - Copy - Copy - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

36...\ModelLib\Samples\1 - Copy (3).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

125...\ModelLib\Samples\5 - Copy - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

72...\ModelLib\Samples\2 - Copy - Copy (2).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

176...\ModelLib\Samples\8(1) - Copy - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

37...\ModelLib\Samples\1 - Copy (4) - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

126...\ModelLib\Samples\5 - Copy.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

50...\ModelLib\Samples\1(1) - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

73...\ModelLib\Samples\2 - Copy - Copy (3).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

38...\ModelLib\Samples\1 - Copy (4).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

127...\ModelLib\Samples\5.png 0: 1.40299615E-14; 1: 6.2925764E-15; 2: 7.2249186E-12; 3: 7.2840905E-08; 4: 8.897353E-13; 5: 0.9999999; 6: 8.083729E-12; 7: 2.314938E-09; 8: 9.3140676E-11; 9: 1.8215003E-08; 

51...\ModelLib\Samples\1(1).png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

177...\ModelLib\Samples\8(1) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

39...\ModelLib\Samples\1 - Copy - Copy (2) - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

128...\ModelLib\Samples\6 - Copy (2) - Copy - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

83...\ModelLib\Samples\3 - Copy (3) - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

74...\ModelLib\Samples\2 - Copy - Copy - Copy (2).png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

40...\ModelLib\Samples\1 - Copy - Copy (2).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

178...\ModelLib\Samples\8(1) - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

129...\ModelLib\Samples\6 - Copy (2) - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

84...\ModelLib\Samples\3 - Copy (3).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

41...\ModelLib\Samples\1 - Copy - Copy (3).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

75...\ModelLib\Samples\2 - Copy - Copy - Copy - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

85...\ModelLib\Samples\3 - Copy (4) - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

179...\ModelLib\Samples\8(1).png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

130...\ModelLib\Samples\6 - Copy (2).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

42...\ModelLib\Samples\1 - Copy - Copy - Copy (2).png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

76...\ModelLib\Samples\2 - Copy - Copy - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

86...\ModelLib\Samples\3 - Copy (4).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

180...\ModelLib\Samples\8(2) - Copy - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

131...\ModelLib\Samples\6 - Copy (3) - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

43...\ModelLib\Samples\1 - Copy - Copy - Copy - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

87...\ModelLib\Samples\3 - Copy - Copy (2) - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

77...\ModelLib\Samples\2 - Copy - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

181...\ModelLib\Samples\8(2) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

44...\ModelLib\Samples\1 - Copy - Copy - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

88...\ModelLib\Samples\3 - Copy - Copy (2).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

132...\ModelLib\Samples\6 - Copy (3).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

78...\ModelLib\Samples\2 - Copy.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

182...\ModelLib\Samples\8(2) - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

133...\ModelLib\Samples\6 - Copy (4) - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

45...\ModelLib\Samples\1 - Copy - Copy.png 0: 0.009920325; 1: 0.45346314; 2: 0.0020421664; 3: 2.9062626E-06; 4: 0.45173383; 5: 0.0648061; 6: 0.014780142; 7: 0.0028486738; 8: 0.00035541636; 9: 4.7335037E-05; 

89...\ModelLib\Samples\3 - Copy - Copy (3).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

79...\ModelLib\Samples\2.png 0: 1.931798E-12; 1: 2.4591133E-11; 2: 1; 3: 1.5909947E-11; 4: 7.7010995E-18; 5: 8.348725E-18; 6: 2.4224316E-12; 7: 2.3897097E-15; 8: 4.2848978E-14; 9: 4.386124E-17; 

134...\ModelLib\Samples\6 - Copy (4).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

183...\ModelLib\Samples\8(3) - Copy - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

90...\ModelLib\Samples\3 - Copy - Copy - Copy (2).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

80...\ModelLib\Samples\3 - Copy (2) - Copy - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

135...\ModelLib\Samples\6 - Copy - Copy (2) - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

99...\ModelLib\Samples\4 - Copy (3) - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

184...\ModelLib\Samples\8(3) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

91...\ModelLib\Samples\3 - Copy - Copy - Copy - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

81...\ModelLib\Samples\3 - Copy (2) - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

136...\ModelLib\Samples\6 - Copy - Copy (2).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

100...\ModelLib\Samples\4 - Copy (3).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

185...\ModelLib\Samples\8(3) - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

92...\ModelLib\Samples\3 - Copy - Copy - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

82...\ModelLib\Samples\3 - Copy (2).png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

137...\ModelLib\Samples\6 - Copy - Copy (3).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

101...\ModelLib\Samples\4 - Copy (4) - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

93...\ModelLib\Samples\3 - Copy - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

186...\ModelLib\Samples\8(4) - Copy - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

151...\ModelLib\Samples\7 - Copy - Copy (2) - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

138...\ModelLib\Samples\6 - Copy - Copy - Copy (2).png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

102...\ModelLib\Samples\4 - Copy (4).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

187...\ModelLib\Samples\8(4) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

94...\ModelLib\Samples\3 - Copy.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

152...\ModelLib\Samples\7 - Copy - Copy (2).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

188...\ModelLib\Samples\8(4) - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

103...\ModelLib\Samples\4 - Copy - Copy (2) - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

95...\ModelLib\Samples\3.png 0: 8.64843E-15; 1: 1.6840713E-09; 2: 2.2028867E-07; 3: 0.9999997; 4: 6.8367924E-13; 5: 2.1350084E-09; 6: 8.9420814E-14; 7: 1.4178042E-12; 8: 3.6317754E-10; 9: 1.1486517E-07; 

139...\ModelLib\Samples\6 - Copy - Copy - Copy - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

96...\ModelLib\Samples\4 - Copy (2) - Copy - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

189...\ModelLib\Samples\8(5) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

203...\ModelLib\Samples\9 - Copy - Copy - Copy - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

153...\ModelLib\Samples\7 - Copy - Copy (3).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

97...\ModelLib\Samples\4 - Copy (2) - Copy.png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

140...\ModelLib\Samples\6 - Copy - Copy - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

204...\ModelLib\Samples\9 - Copy - Copy - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

190...\ModelLib\Samples\8(6) - Copy - Copy.png 0: 0.0023305803; 1: 2.24656E-06; 2: 1.7476414E-05; 3: 0.0008312747; 4: 2.6051937E-06; 5: 0.010466302; 6: 0.0048775934; 7: 9.833876E-08; 8: 0.98147184; 9: 1.831759E-11; 

154...\ModelLib\Samples\7 - Copy - Copy - Copy (2).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

205...\ModelLib\Samples\9 - Copy - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

141...\ModelLib\Samples\6 - Copy - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

98...\ModelLib\Samples\4 - Copy (2).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

191...\ModelLib\Samples\8.png 0: 3.8690837E-09; 1: 2.9632183E-09; 2: 1.6467966E-06; 3: 9.422036E-09; 4: 2.783808E-07; 5: 4.1776084E-07; 6: 1.3177612E-06; 7: 4.8381086E-17; 8: 0.99999636; 9: 4.7907567E-11; 

142...\ModelLib\Samples\6 - Copy.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

206...\ModelLib\Samples\9 - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

155...\ModelLib\Samples\7 - Copy - Copy - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

